,id,text
0,[1548732815499485186],"['RT @FabrizioRomano: AS Roma had a meeting today with Paulo Dybala’s agents. Opening bid on the table, trying to convince the player - Dybal…']"
1,[1548732815482957829],['RT @Virendersindhu: Hearty congratulations to @Pvsindhu1 for winning your maiden super title at Singapore Open and best wishes for bright f…']
2,[1548732815134818304],['RT @mamamoobridges: 🎵 Midnight Summer Dream (Bridge)\n💿 Red Moon [2018]\n🎤 MAMAMOO https://t.co/hT3aUqpakm']
3,[1548732814635540481],['RT @mamamoobridges: 🎵 Midnight Summer Dream (Bridge)\n💿 Red Moon [2018]\n🎤 MAMAMOO https://t.co/hT3aUqpakm']
4,[1548732814606192640],['RT @DNFAlerts: Dream: https://t.co/ayEDD7Qtz2']
5,[1548732813586927616],"['RT @Chude__: 18. \n\n""Nigerian youths take back your future, they have wasted your time""\n\n#Competence2023 \n\nhttps://t.co/0tllJjv08C']"
6,[1548732813532430337],['RT @PatTheBerner: Society is literally collapsing and Democrats are asking for donations so that at some point in the future they could may…']
7,[1548732813176078336],"['RT @Malok_Shoujaat: I just borrowed the time machine from Doremon &amp; this picture is from the near future,\n\n#ByElection2022 | #پنجاب_تحریک_ا…']"
8,[1548732812760682496],['RT @numbersprotocol: 🚀Numbers x @WattsWeb3 Community Drop🪂\n\nThis partnership built in May marked a significant milestone in creating a bett…']
9,[1548732812542775296],['RT @jayfb412: He lowered his eyes to his grounded extremities and pinched himself to see if he was in a dream.  He was not.  His legs were…']
