,id,text
0,[1548732266125602817],['@ramestta I really appreciate this opportunity and wish you all the best in your future endeavors and I extend my fullest support to you.\nGood luck 🍀👍 and blessings to you 😇\n\n@hamdangerouz @Hamdanisay @hamd_iah']
1,[1548732265705791488],['RT @vexx_art: Devil’s Dream 🧊\n\nMy collaboration for @CubesCrypto &amp; Collectors based on Cube #138\n\nAvailable July 18th at @niftygateway 💎 ht…']
2,[1548732265672241153],"[""My skin and body don't look good. If i want to have sex with someone i like in the future, will he dislike me😰（？can i say that）""]"
3,[1548732264795852804],"[""RT @julieAn34464628: So my twitter mate's if you agree with my tweet on nobody in the Tory future PM job is 🤐on the Dinghy situation please…""]"
4,[1548732264623792136],['RT @ilovekitconnor: “knf is better” \ndream: https://t.co/rIFgWvY8NM']
5,[1548732264531562496],['RT @hongli64: Love the puggy looking Microceratus.\n\nDid this as a personal ref sheet for future illustrations. Definitely need to revisit t…']
6,[1548732264208629776],"[""RT @HoundsInPounds: This dream of a girl loves to meet new people and dogs on walks, is potty trained, and crate trained!\n\nShe's a mild-man…""]"
7,[1548732264057651206],['@simplykosmic My future wi… nvm https://t.co/1YZOwFigan']
8,[1548732263717777408],"['RT @jbonhotal: Zero to One is the first book every entrepreneur should read.\n\n23 notes to help you start a company, and build the future: h…']"
9,[1548732263629717504],"['@ReadToEarn Best project ever , I am very happy to be participating in this project. I hope this project will gain more popularity in the future. This is definitely going to be HUGE!\n\ngreat project sir!!!🚀🚀🚀❤️\n@SaiRi_iTo\n@730nizzle\n@itsnawzi\n#SGM #Sigma #Read2earn #ReadToEarn #SigmaSGM']"
